,TranscriptionFlux,TranslationFlux
b0784,6.824476412185894e-11,2.1253027731183497e-12
b0785,6.824476412185894e-11,2.3024103540537225e-09
b0789,0.0,0.0
b0805,0.0,0.0
b0807,5.485446207040391e-14,1.8506545236412034e-12
b0809,0.0,0.0
b0810,0.0,0.0
b0811,0.0,0.0
b0813,0.0,0.0
b0822,0.0,0.0
b0825,0.0,0.0
b0826,1.3648964490145925e-10,4.604824643852481e-09
b0827,1.3648964490145925e-10,2.3024103540537225e-09
b0828,0.0,0.0
b0829,0.0,0.0
b0830,0.0,0.0
b0831,0.0,0.0
b0832,0.0,0.0
b0837,0.0,0.0
b0839,-9.769677903270854e-33,-3.2960488397462074e-31
b0841,1.0570039466614879e-10,3.566071129974868e-09
b0842,0.0,0.0
b0849,0.0,0.0
b0854,0.0,0.0
b0855,0.0,0.0
b0856,0.0,0.0
b0857,0.0,0.0
b0859,5.485446207040391e-14,1.8506545236412034e-12
b0860,0.0,0.0
b0861,0.0,0.0
b0862,0.0,0.0
b0863,0.0,0.0
b0864,0.0,0.0
b0870,0.0,0.0
b0871,-4.821352761667184e-42,4.364035586975884e-40
b0875,0.0,0.0
b0883,0.0,
b0884,3.076829058191229e-11,1.0380463867650455e-09
b0886,0.0,0.0
b0887,0.0,0.0
b0888,7.120717134857698e-10,2.402354681790574e-08
b0891,3.291026579173309e-10,1.1103113577804289e-08
b0893,7.976982375560231e-10,2.691237496666968e-08
b0894,0.0,0.0
b0895,0.0,0.0
b0896,0.0,0.0
b0902,8.87605277571554e-15,2.994561718675345e-13
b0903,-1.9703956631209772e-30,-6.647629946012372e-29
b0904,0.0,0.0
b0907,2.968168175208481e-08,3.273583188106393e-09
b0908,2.968168175208481e-08,1.0013868795809678e-06
b0910,5.297999192013671e-09,1.787414514859966e-07
b0911,1.2835944124474525e-07,4.33053158532042e-06
b0914,1.6291864993164797e-11,5.496474217440118e-10
b0915,1.6291864993164797e-11,3.402890128758696e-11
b0918,3.333706345925658e-09,1.1247104605018831e-07
b0928,1.7424465506365362e-09,5.878585751145938e-08
b0929,0.0,0.0
b0930,6.387733867224041e-10,2.1550641699889057e-08
b0931,0.0,0.0
b0932,0.0,0.0
b0933,0.0,0.0
b0934,0.0,0.0
b0935,0.0,0.0
b0936,0.0,0.0
b0937,0.0,0.0
b0945,7.203059683954327e-10,2.4301350309585668e-08
b0948,2.1941784828161587e-13,7.402618094564821e-12
b0954,0.0,0.0
b0957,0.0,0.0
b0963,-1.3202749913221577e-30,-4.4542828293616527e-29
b0967,1.0970892414080782e-13,3.701309047282407e-12
b0968,0.0,0.0
b0969,4.825566882770563e-14,1.6280274828455293e-12
b0971,4.1495019610752577e-07,
b0972,0.0,1.2545801844693398e-29
b0973,0.0,1.2545801844693398e-29
b0974,0.0,1.2545801844693398e-29
b0978,-2.5645247715740407e-63,-1.1251581321002584e-61
b0979,-2.5645247715740407e-63,0.0
b0980,-2.5645247715740407e-63,0.0
b0996,0.0,-3.79629350228878e-28
b0997,0.0,-7.59258700457756e-28
b0998,0.0,-1.6223476505507592e-34
b1002,0.0,-3.212706207911373e-29
b1006,0.0,0.0
b1007,0.0,0.0
b1008,0.0,0.0
b1009,0.0,0.0
b1010,0.0,0.0
b1011,0.0,0.0
b1012,0.0,0.0
b1014,0.0,0.0
b1015,1.5906941486105954e-30,5.366610501215904e-29
b1032,5.971517039818394e-07,
b1033,0.0,0.0
b1054,0.0,0.0
b1059,0.0,0.0
b1062,3.202871296138359e-11,1.0805699352645888e-09
b1064,0.0,0.0
b1069,1.3338496978596195e-11,4.500080547746735e-10
b1084,1.3933133427048795e-11,4.700696248223086e-10
b1086,1.645633862112116e-13,5.551963570923607e-12
b1089,1.2835944124474525e-07,4.33053158532042e-06
b1090,0.0,0.0
b1091,2.622728966811345e-16,8.848441938022447e-15
b1092,6.666695443726805e-12,2.2491789391419267e-10
b1093,1.3139435753577354e-09,7.585143214395993e-10
b1094,1.3139433130848388e-09,4.4329213055587296e-08
b1095,0.0,0.0
b1096,6.412315844790972e-10,8.259395449556201e-11
b1098,6.412315844790972e-10,2.1633575241240533e-08
b1101,1.5811045036180608e-08,5.334257399543391e-07
b1102,0.0,0.0
b1106,0.0,0.0
b1107,0.0,0.0
b1109,0.0,0.0
b1114,1.1039332930800067e-12,3.7243991929307816e-11
b1116,6.582053158346618e-10,2.2206227155608578e-08
b1117,6.582053158346618e-10,1.1103113577804289e-08
b1118,6.582053158346618e-10,1.1103113577804289e-08
b1119,0.0,0.0
b1123,0.0,0.0
b1124,0.0,-2.5470480519113374e-35
b1125,0.0,0.0
b1126,0.0,0.0
b1131,4.099950272481843e-09,1.3832222998986083e-07
b1133,4.825566882770563e-14,1.6280274828455293e-12
b1134,5.485446207040391e-14,0.0
b1135,5.485446207040391e-14,1.8506545236412034e-12
b1136,6.736647960335747e-11,2.2727791963345446e-09
b1185,0.0,0.0
b1186,0.0,3.1344066051345035e-29
b1189,0.0,0.0
b1190,0.0,0.0
b1192,0.0,0.0
b1193,6.925699363142593e-38,7.368582328679943e-30
b1197,0.0,-6.5181299266558e-29
b1198,7.896308651742483e-42,4.339904413071398e-40
b1199,7.896308651742483e-42,1.4237520670046858e-40
b1200,7.896308651742483e-42,9.59221144445992e-41
b1206,9.09147683901089e-12,3.0672404948753597e-10
b1207,4.00826317790888e-08,6.980285644595504e-08
b1208,4.00826317790888e-08,1.3522893311069007e-06
b1209,4.00826317790888e-08,1.1103113577804289e-08
b1210,1.1225709946211213e-12,2.031073713189781e-14
b1211,1.1225709946211213e-12,3.7872782101802247e-11
b1215,1.3946221926096704e-11,4.705111985622825e-10
b1216,0.0,0.0
b1223,0.0,0.0
b1224,0.0,2.4926752138311907e-28
b1225,0.0,2.4926752138311907e-28
b1226,0.0,1.0652458178765763e-34
b1227,0.0,2.4926752138311907e-28
b1230,7.819807443730513e-07,
b1231,0.0,
b1232,0.0,0.0
b1236,0.0,0.0
b1238,2.575112977617038e-14,8.687797311361092e-13
b1241,0.0,0.0
b1243,0.0,0.0
b1244,0.0,0.0
b1245,0.0,0.0
b1246,0.0,0.0
b1247,0.0,0.0
b1249,0.0,0.0
b1250,0.0,0.0
b1252,0.0,-1.894416593482966e-68
b1260,3.8750589762632346e-08,5.769155924187471e-09
b1261,3.8750589762632346e-08,5.769155924187471e-09
b1262,3.8750589762632346e-08,4.237739289590683e-07
b1263,3.8750589762632346e-08,1.3073495123502907e-06
b1264,3.8750589762632346e-08,1.1654610726122392e-07
b1269,5.485446207040391e-14,1.8506545236412034e-12
b1270,0.0,0.0
b1276,9.337436358648797e-10,3.150221182401981e-08
b1277,3.916718168418782e-09,1.321404298324666e-07
b1278,0.0,0.0
b1281,5.671069468432907e-09,1.9132792428387395e-07
b1286,0.0,0.0
b1288,5.06582619874355e-16,1.7090850619685684e-14
b1291,0.0,0.0
b1296,0.0,0.0
b1297,5.313197224400481e-10,1.792541956881181e-08
b1298,0.0,0.0
b1300,0.0,0.0
b1301,0.0,0.0
b1302,0.0,0.0
b1308,0.0,0.0
b1319,0.0,0.0
b1325,0.0,0.0
b1326,0.0,0.0
b1329,0.0,0.0
b1344,2.2622133985389993e-14,7.632151153126991e-13
b1363,0.0,0.0
b1377,2.1425155177439393e-07,7.228319967471884e-06
b1378,1.995762383965554e-10,6.733211018017752e-09
b1380,1.7084434003078766e-30,5.763867491958527e-29
b1385,0.0,0.0
b1386,0.0,0.0
b1387,0.0,0.0
b1388,0.0,0.0
b1389,0.0,0.0
b1390,0.0,0.0
b1391,0.0,0.0
b1392,0.0,0.0
b1393,0.0,0.0
b1394,0.0,0.0
b1395,0.0,0.0
b1397,0.0,0.0
b1398,0.0,0.0
b1415,1.905847290916111e-12,6.429859627055246e-11
b1440,0.0,0.0
b1441,0.0,0.0
b1442,0.0,0.0
b1443,0.0,0.0
b1444,0.0,0.0
b1453,0.0,0.0
b1463,0.0,0.0
b1465,0.0,0.0
b1466,0.0,0.0
b1467,0.0,0.0
b1468,0.0,0.0
b1469,2.240052999985374e-29,7.521965485932167e-28
b1473,0.0,0.0
